Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH TM VÀ DV TING TING GROUP,TING TING GROUP TM AND DV COMPANY LIMITED,"Thôn Pá Phiêng, Xã Hồng Phong, Huyện Cao Lộc, Tỉnh Lạng Sơn, Việt Nam",,,2024-08-30,Chi cục Thuế Huyện Cao Lộc,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TỔNG HỢP XUÂN QUỲNH,XUAN QUYNH GENERAL TRADING SERVICES COMPANY LIMITED,"Tầng I SH4-02, Khu Đô Thị Apec, Thôn Phai Duốc, Xã Mai Pha, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",,,2024-08-30,Chi cục Thuế Thành phố Lạng Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV MINH QUANG 79,4900914412,,0964121102,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH XUẤT NHẬP KHẨU NÔNG SẢN LASO,LASO AGRICULTURAL PRODUCTS IMPORT EXPORT COMPANY LIMITED,4900914444,"số 11 Quang Trung, Phường Chi Lăng, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",PHẠM THỊ TRANG,096 778 5166,2024-09-04,Chi cục Thuế Thành phố Lạng Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN THƯƠNG MẠI XNK STL,XNK STL TRADE JOINT STOCK COMPANY,4900914451,"Số 52 đường Bông Lau , Phường Hoàng Văn Thụ, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",HỒ DUY SỸ,0813666878,2024-09-04,Chi cục Thuế Thành phố Lạng Sơn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG THIẾT KẾ BÌNH CÔNG,4900914469,,0921766364,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI NGUYỄN HÀ,4900914476,,0563727166,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH XÂY DỰNG HÀ THANH LS,4900914483,,0921750664,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH MTV XÂY DỰNG VÀ THƯƠNG MẠI XUÂN LUÂN,4900914500,,0563988206,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ XÂY DỰNG TAM TÍN,5300826156,,0913525989,,Chi cục Thuế khu vực Lào Cai - Mường Khương,,,,
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI XUẤT NHẬP KHẨU TOÀN PHÚC,TOAN PHUC IMPORT - EXPORT TRADING SERVICES COMPANY LIMITED,"Thôn 4, Xã Đồng Tuyển, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN ĐẦU TƯ AN VIÊN LÀO CAI,5300826082,,0919598179,,Cục Thuế Tỉnh Lào Cai,,,,
CÔNG TY TNHH MTV THƯƠNG MẠI DIỆP TRẦN,5300826131,,0915956803,,Chi cục Thuế khu vực Lào Cai - Mường Khương,,,,
CÔNG TY TNHH THƯƠNG MẠI MINH QUẢNG,CÔNG TY TNHH TM MINH QUẢNG,"Số nhà 084, đường Nguyễn An Ninh, Phường Cốc Lếu, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-23,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI GIA HƯNG,CÔNG TY TNHH KDTM GIA HƯNG,"Số nhà 031A, Đường Lê Khôi kéo dài, Phường Lào Cai, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-28,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XUẤT NHẬP KHẨU VIỆT KHIẾT LÀO CAI,5300826170,,0978842516,,Chi cục Thuế khu vực Lào Cai - Mường Khương,,,,
CÔNG TY TNHH XUẤT NHẬP KHẨU MINH HẬU,CÔNG TY TNHH XNK MINH HẬU,"Số nhà 031A, Đường Lê Khôi kéo dài, Phường Lào Cai, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-28,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ KINH DOANH HỒNG HÀ,HONG HA TRADING AND SERVICE INVESTMENT JOINT STOCK COMPANY,5300826205,"Kiot 26 đường Phạm Hồng Thái, chợ Du lịch Lào Cai, Phường Lào Cai, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",HOÀNG TÙNG,0922299984,2024-08-28,Cục Thuế Tỉnh Lào Cai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI TỔNG HỢP THIÊN VŨ,THIEN VU GENERAL CONSTRUCTION AND TRADING COMPANY LIMITED,"Số nhà 054, phố Bùi Thị Xuân, Phường Lào Cai, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-23,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KINH DOANH XUẤT NHẬP KHẨU TRUNG ANH,TRUNG ANH IMPORT AND EXPORT BUSINESS COMPANY LIMITED,"Số nhà 051, phố Đoàn Khuê, Phường Kim Tân, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-15,Cục Thuế Tỉnh Lào Cai,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KINH DOANH XUẤT NHẬP KHẨU HƯNG HẢI,HUNG HAI IMPORT EXPORT BUSINESS COMPANY LIMITED,"Số nhà 001, đường Đoàn Khuê, Phường Kim Tân, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-27,Cục Thuế Tỉnh Lào Cai,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KINH DOANH XUẤT NHẬP KHẨU HTC,HTC IMPORT EXPORT BUSINESS COMPANY LIMITED,"Số nhà 115, đường Đô Đốc Lộc, Phường Bắc Cường, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG MT12,MT12 TRADE AND CONSTRUCTION COMPANY LIMITED,"Số nhà 48, phố Ban Mai, Phường Bắc Cường, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI XUẤT NHẬP KHẨU BẢO NGỌC,BAO NGOC IMPORT EXPORT TRADE BUSINESS COMPANY LIMITED,5300823028,"Thôn Tân Quang, Xã Trịnh Tường, Huyện Bát Xát, Tỉnh Lào Cai, Việt Nam",NGUYỄN NGỌC ÁNH,0486938368,2024-04-12,Chi cục Thuế Huyện Bát Xát,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV THƯƠNG MẠI PHÚC VINH,5300826283,,0968090389,,Chi cục Thuế khu vực Lào Cai - Mường Khương,,,,
CÔNG TY TNHH THƯƠNG MẠI CHÂU THỦY,CHAU THUY TRADING COMPANY LIMITED,"Số nhà 064, đường Trần Quý Khoáng, Phường Duyên Hải, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-09-04,Cục Thuế Tỉnh Lào Cai,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI KHOÁNG SẢN LÀO CAI,LAO CAI MINERAL INVESTMENT JOINT STOCK COMPANY,"Số nhà 028 đường Nguyễn Đức Cảnh, Phường Duyên Hải, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-09-04,Cục Thuế Tỉnh Lào Cai,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV BÌNH ĐÀO,5300826276,,0974242363,,Chi cục Thuế Huyện Bảo Thắng,,,,
CÔNG TY TNHH KINH DOANH XUẤT NHẬP KHẨU HỒNG PHONG LÀO CAI,HONG PHONG LAO CAI IMPORT EXPORT BUSINESS COMPANY LIMITED,"Số nhà 281A, đường Hoàng Liên, Phường Kim Tân, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV THƯƠNG MẠI HẢI BÌNH,5300826300,,0913123384,,Chi cục Thuế khu vực Lào Cai - Mường Khương,,,,
CÔNG TY CP HUAEB,HUAEB JOINT STOCK COMPANY,"Số nhà 525 đường Ngô Quyền kéo dài, Phường Kim Tân, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV THƯƠNG MẠI TỔNG HỢP PHÚC HƯNG,5300826290,,0948206869,,Chi cục Thuế khu vực Lào Cai - Mường Khương,,,,
CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG TỔNG HỢP THIÊN PHÚ,CÔNG TY TNHH TM XDTH THIÊN PHÚ,"Thôn Tiến Cường, Xã Thống Nhất, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Lào Cai - Mường Khương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ BẢO PHÚ AN,BAO PHU AN TRADING AND SERVICES COMPANY LIMITED,"Số nhà 163, đường Tôn Thất Thuyết, Phường Lào Cai, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",,,,,,,
CÔNG TY TNHH MTV THƯƠNG MẠI DỊCH VỤ TẤN TÀI,1102068834,,0978971197,,Chi cục Thuế khu vực Cần Giuộc - Cần Đước,,,,
CÔNG TY TNHH KINH DOANH TỔNG HỢP TRÂM ANH,1102068827,,0912034477,,Chi cục Thuế khu vực Cần Giuộc - Cần Đước,,,,
CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG THIỆN TUYẾT,1102068898,,0528411411,,Chi cục Thuế khu vực Đức Hòa - Đức Huệ,,,,
CÔNG TY TNHH XÂY DỰNG THIẾT KẾ NUNA,NUNA DESIGN CONSTRUCTION COMPANY LIMITED,1102068866,"Số 163/2, Đường ĐT838, Khu phố 1, Thị Trấn Đông Thành, Huyện Đức Huệ, Tỉnh Long An, Việt Nam",TRƯƠNG NGUYỄN HẰNG UYÊN,0912037070,2024-09-04,Chi cục Thuế khu vực Đức Hòa - Đức Huệ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN SẢN XUẤT VẮC XIN VÀ SINH PHẨM VNVC,VNVC VACCINE AND BIOLOGICAL MANUFACTURING JOINT STOCK COMPANY,1102068986,"Lô A1-1, Đường Ngang 1 của Khu Công nghiệp Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An, Việt Nam",NGÔ CHÍ DŨNG,02871026595,2024-09-05,Cục Thuế Tỉnh Long An,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SX - TM ANH NGUYÊN KHANG,ANH NGUYEN KHANG PRODUCTION AND TRADING COMPANY LIMITED,1102069073,"100 Đường H11, Khu Aquaria, KĐT Waterpoint, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An, Việt Nam",ĐÀO VĂN TÙNG,,,,,
CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU HTM VIỆT NAM,VIETNAM HTM IMPORT EXPORT TRADING COMPANY LIMITED,"Lô J17 đường số 10, Cụm công nghiệp Hải Sơn Đức Hòa Đông, Xã Đức Hòa Đông, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",,,,,,,
CÔNG TY TNHH TƯ VẤN XÂY DỰNG CAO MINH ĐẠT,1102068915,,,,,,,,
CÔNG TY TNHH MTV SÁU NGỌ,1102068979,,,,,,,,
CÔNG TY TNHH NÔNG NGƯ CƠ DƯƠNG BÌNH,1102068922,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ KỸ THUẬT ĐĂNG QUANG SOLAR,CTY TNHH TM & KT ĐĂNG QUANG SOLAR,"Số 16 đường 823, Ô6 khu B, Thị Trấn Hậu Nghĩa, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",,,,,,,
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI PHÁT ĐẠI THÀNH,PHAT DAI THANH MANUFACTURING AND TRADING JOINT STOCK COMPANY,"Thửa đất 413, Ấp 4, Xã Đức Hòa Đông, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",,,,,,,
CÔNG TY TNHH ĐỔ TRƯỜNG THỌ,1102068947,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KHẢI PHÁT LONG AN,KHAI PHAT LONG AN TRADING SERVICES COMPANY LIMITED,1102069034,"156Đ/1 Khu Phố 4, Thị Trấn Đức Hòa, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",TRẦN QUANG TUYỀN,,,,,
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HÀ MAI,HA MAI PRODUCTION TRADING SERVICES COMPANY LIMITED,1102069080,"Số 898D Tỉnh lộ 826, Ấp 2, Xã Tân Trạch, Huyện Cần Đước, Tỉnh Long An, Việt Nam",ĐÀO MAI THẢO,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT PHÁT TRIỂN AN LỘC,1102069115,,,,,,,,
CÔNG TY TNHH TMDV MAY MẶC MINH HUY,MINH HUY GARMENT TMDV COMPANY LIMITED,1102069041,"Số 653 Đường Đức Hòa Thượng, Ấp Bình Hữu 1, Xã Đức Hòa Thượng, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",TRẦN MINH HUY,,,,,
CÔNG TY TNHH VẠN NIÊN VNT,VAN NIEN VNT COMPANY LIMITED,1102069108,"315 Ấp 6, Xã Thạnh Đức, Huyện Bến Lức, Tỉnh Long An, Việt Nam",TRẦN THANH TUYỀN,,,,,
CÔNG TY TNHH THƯƠNG MẠI TAISHAN,TAISHAN TRADING COMPANY LIMITED,1102069066,"Thửa đất số 819, tờ bản đồ số 14, ấp Nhơn Hòa 2, Xã Đức Hòa Thượng, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",TRẦN THỊ THẢO QUYÊN,,,,,
CÔNG TY CỔ PHẦN THÀNH ĐẠT TTH-CONS,THANH DAT TTH-CONS JOINT STOCK COMPANY,"163 Tổ 4, Ấp Bình Tả 1, Xã Đức Hòa Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",,,,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN CƠ KHÍ VÀ NHÔM KÍNH THÀNH TÀI,THANH TAI MECHANICAL AND GLASS ALUMINIUMCAL COMPANY LIMITED,1102069059,"Số 100, Ấp Bình Tả 2, Xã Đức Hòa Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam",BÙI TẤN TÀI,,,,,
CÔNG TY TNHH BẾN LỨC SATOPURE,"SATOPURE CO., LTD","Nhà xưởng B4d2, Khu B, đường số 13, Khu công nghiệp Phúc Long, Xã Long Hiệp, Huyện Bến Lức, Tỉnh Long An, Việt Nam",,,,,,,
CÔNG TY TNHH MASSAGE NỮ NHI,1102069002,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ ĐẠI SONG PHÁT,1102069098,,,,,,,,
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THÉP HOÀNG PHÚC V N,1101401144-003,,2024-08-28,,,,,,
CÔNG TY TNHH DLV HUMAN RESOURCE,DLV HUMAN RESOURCE COMPANY LIMITED,"Số 138 Nguyễn Tri Phương, Phường Trường Thi, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam",,,,,,,
CÔNG TY TNHH KINH DOANH VẬN TẢI MINH NHẬT,MINH NHAT TRANSPORT BUSINESS COMPANY LIMITED,"Xóm 3, Xã Xuân Phương, Huyện Xuân Trường, Tỉnh Nam Định, Việt Nam",,,,,,,
CÔNG TY TNHH TMDV ĐỒNG THANH,0601271413,,,,,,,,
CÔNG TY TNHH SƠN PAISON VIỆT NAM,VIETNAM PAISON PAINT COMPANY LIMITED,0601271188,"Số 9 Đường Nguyễn An Ninh , Phường Văn Miếu, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam",NGUYỄN HUY THÀNH,0916936686,2024-08-26,Chi cục Thuế khu vực Thành phố Nam Định - Mỹ Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH VẬN TẢI THUỶ TRUNG HIẾU,THUY TRUNG HIEU TRANSPORT COMPANY LIMITED,"Tổ dân phố Bắc Trung Nam, Thị trấn Ninh Cường, Huyện Trực Ninh, Tỉnh Nam Định, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực Nam Ninh,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH CÔNG NGHỆ KỸ THUẬT MÔI TRƯỜNG DƯƠNG LÂM,DUONG LAM ENVIRONMENTAL TECHNICAL TECHNOLOGY COMPANY LIMITED,0601271205,"Tổ 12, Thị Trấn Lâm, Huyện Ý Yên, Tỉnh Nam Định, Việt Nam",DƯƠNG TRUNG KIÊN,0982403279,2024-08-27,Chi cục Thuế khu vực ý Yên - Vụ Bản,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PISTACHIO - CHI NHÁNH NAM ĐỊNH,0110801838-003,,02106268866,,Chi cục Thuế khu vực Thành phố Nam Định - Mỹ Lộc,,,,
CÔNG TY TNHH VẬN TẢI DUY KHÁNH HM,DUY KHANH HM TRANSPORT COMPANY LIMITED,0601271237,"Xóm 6, Xã Nghĩa Sơn, Huyện Nghĩa Hưng, Tỉnh Nam Định, Việt Nam",BÙI ĐÌNH HẢI,0949814229,2024-08-27,Chi cục Thuế Huyện Nghĩa Hưng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NESTVIET,NESTVIET PRODUCTION AND TRADING COMPANY LIMITED,0601271082,"Đường 10, thôn Hồng Phúc, Xã Mỹ Tân, Huyện Mỹ Lộc, Tỉnh Nam Định, Việt Nam",PHẠM TUẤN PHONG,02283501979,2024-08-22,Chi cục Thuế khu vực Thành phố Nam Định - Mỹ Lộc,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH CHẾ BIẾN VÀ CUNG CẤP THỰC PHẨM GREEN,GREEN FOOD PROCESSING AND SUPPLY COMPANY LIMITED,"Xóm Nam Lễ, Xã Hải Hưng, Huyện Hải Hậu, Tỉnh Nam Định, Việt Nam",,,2024-08-23,Chi cục Thuế Huyện Hải Hậu,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI BẢO HỘ LAO ĐỘNG TUẤN KHANG,0601271170,,0962928441,,Chi cục Thuế khu vực ý Yên - Vụ Bản,,,,
CÔNG TY TNHH THỰC PHẨM NAM ĐỊNH TG,NAM DINH TG FOOD COMPANY LIMITED,0601271156,"Thôn Mỹ Lộc, Xã Yên Phương, Huyện Ý Yên, Tỉnh Nam Định, Việt Nam",HÀ TRƯỜNG GIANG,0943563868,2024-08-23,Cục Thuế Tỉnh Nam Định,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THỰC PHẨM VƯỢNG KHÁ,VUONG KHA FOODS COMPANY LIMITED,0601271149,"Xóm 10, Xã Nghĩa Thái, Huyện Nghĩa Hưng, Tỉnh Nam Định, Việt Nam",PHẠM VĂN KHÁ,0327 301 096,2024-08-23,Chi cục Thuế Huyện Nghĩa Hưng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TỔNG HỢP TRUNG THỊNH,TRUNG THINH GENERAL SERVICE AND TRADING COMPANY LIMITED,"Xóm 1, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định, Việt Nam",,,2024-08-12,Chi cục Thuế khu vực Xuân Thủy,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH TRƯỜNG AN NAM ĐỊNH - CÔNG TY TNHH PHÁT TRIỂN ĐẦU TƯ VÀ THƯƠNG MẠI TRƯỜNG AN,0110673872-003,,0866889889,,Chi cục Thuế Huyện Hải Hậu,,,,
CÔNG TY TNHH ĐT THƯƠNG MẠI TỈNH HIỀN 688,0601271251,,0949776367,,Chi cục Thuế khu vực Thành phố Nam Định - Mỹ Lộc,,,,
CÔNG TY CỔ PHẦN CUNG ỨNG NHÂN LỰC THIÊN TRƯỜNG,THIEN TRUONG MANPOWER SUPPLY JOINT STOCK COMPANY,0601271269,"Số 16/36 Trần Nhật Duật, Phường Vị Xuyên, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam",LƯƠNG ANH TUẤN,0904509262,2024-09-04,Chi cục Thuế khu vực Thành phố Nam Định - Mỹ Lộc,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MAY TRỌNG PHÁT,TRONG PHAT GARMENT COMPANY LIMITED,"Xóm 7, Xã Hải Châu, Huyện Hải Hậu, Tỉnh Nam Định, Việt Nam",,,,,,,
CÔNG TY TNHH PAI NAN VIỆT NAM,PAI NAN VIET NAM COMPANY LIMITED,"Số 54 Ngô Gia Khảm, Phường Mỹ Xá, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Thành phố Nam Định - Mỹ Lộc,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN MP-BUILDING,MP-BUILDING JOINT STOCK COMPANY,0601271283,"Thôn Phố Cầu Chanh, Xã Nam Hùng, Huyện Nam Trực, Tỉnh Nam Định, Việt Nam",HOÀNG VĂN PHÚ,,,,,
CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ XÂY DỰNG GIA LÊ,GIA LE CONSTRUCTION INVESTMENT CONSULTATION JOINT STOCK COMPANY,0601271290,"Xóm 12, Xã Nam Tiến, Huyện Nam Trực, Tỉnh Nam Định, Việt Nam",LÊ NGỌC LIN,,,,,
CÔNG TY TNHH THIẾT KẾ XÂY DỰNG NỘI THẤT FDB,FDB INTERIOR CONSTRUCTION DESIGN COMPANY LIMITED,0601271357,"Thôn Phú Lão, Xã Minh Tân, Huyện Vụ Bản, Tỉnh Nam Định, Việt Nam",TRẦN MẠNH TUẤN,,,,,
CÔNG TY TNHH WAFILTEC,WAFILTEC COMPANY LIMITED,0601271325,"Tổ dân phố Tiền Tiến, Thị Trấn Cát Thành, Huyện Trực Ninh, Tỉnh Nam Định, Việt Nam",LƯU VĂN SƠN,,,,,
CÔNG TY TNHH MAY BÍCH LỤA,BICH LUA GARMENT COMPANY LIMITED,0601271364,"Xóm 5, Xã Hải Tây, Huyện Hải Hậu, Tỉnh Nam Định, Việt Nam",NGUYỄN THI LỤA,,,,,
CÔNG TY TNHH CƠ KHÍ ĐÚC VÀ THƯƠNG MẠI THIẾT BỊ KHAI THÁC KHOÁNG SẢN THÀNH CÔNG,0601271332,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM CHÂU KHIÊM,2902198217,,0325994396,,Chi cục Thuế Thành phố Vinh,,,,
DOANH NGHIỆP TƯ NHÂN VÀNG BẠC KIM YẾN VŨ,2902198739,,0943832777,,Chi cục Thuế khu vực Bắc Vinh,,,,
CÔNG TY TNHH TRỪ MỐI DỊCH VỤ VÀ THƯƠNG MẠI MIỀN TRUNG,TERMITE CONTROL SERVICES AND TRADING COMPANY LIMITED CENTRAL REGION,2902198697,"Nhà ông Lê Đình Chinh, Xóm 7, Xã Hạnh Lâm, Huyện Thanh Chương, Tỉnh Nghệ An, Việt Nam",NGUYỄN THỊ AN,0915618111,2024-08-30,Chi cục Thuế khu vực Sông Lam I,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MƠ SƯƠNG,MO SUONG COMPANY LIMITED,2902198714,"Xóm 3, Xã Mỹ Sơn, Huyện Đô Lương, Tỉnh Nghệ An, Việt Nam",NGUYỄN THỊ BA,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HOÀNG ĐĂNG ACADEMY,"HOANG DANG ACADEMY TRADING SERVICE CO., LTD",2902198760,"Số 17 ngõ 4 đường Cao Bá Quát, Phường Trường Thi, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam",NGUYỄN VĂN MINH,0866658168,2024-09-04,Chi cục Thuế Thành phố Vinh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP TÂM THÀNH PHÁT,2902198841,,0373942351,,Chi cục Thuế khu vực Bắc Nghệ I,,,,
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN VẠN LINH GIA NGUYỄN,VẠN LINH GIA NGUYỄN,"Thửa đất số 202, tờ bản đồ số 33, ngõ 20, đường Lê Hồng Phong, Phường Hưng Bình, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam",,,2024-09-04,Chi cục Thuế Thành phố Vinh,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH NGUYỄN ĐẠT LOGISTICS,2902198746,,,,,,,,
CÔNG TY TNHH MÁY MAY LỘC PHÁT,2902198753,,0976446191,,Chi cục Thuế khu vực Bắc Nghệ II,,,,
CÔNG TY TNHH THỜI TRANG VÀ MAY MẶC CANIFA,CANIFA FASHION AND GARMENT COMPANY LIMITED,"Xóm Quyết Thắng, Xã Nghi Diên, Huyện Nghi Lộc, Tỉnh Nghệ An, Việt Nam",,,2024-09-04,Cục Thuế Tỉnh Nghệ An,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG KẾT CẤU THÉP ĐẠI KIM,2902198866,,0833007001,,Chi cục Thuế Thành phố Vinh,,,,
CÔNG TY TNHH MTV THƯƠNG MẠI HẢI VINH,2902198802,,0384753196,,Chi cục Thuế khu vực Bắc Nghệ I,,,,
